,MTG FCI L2 CLM,MTG FCI L2 CLM,MTG FCI L2 CLM,Bright Sky (DWD),Bright Sky (DWD),Bright Sky (DWD),Open-Meteo,Open-Meteo,Open-Meteo,OpenWeatherMap,OpenWeatherMap,OpenWeatherMap,Tomorrow.io,Tomorrow.io,Tomorrow.io,WeatherAPI.com,WeatherAPI.com,WeatherAPI.com
,N,MAE,Bias,N,MAE,Bias,N,MAE,Bias,N,MAE,Bias,N,MAE,Bias,N,MAE,Bias
grp,,,,,,,,,,,,,,,,,,
0-10,1129,6.87,5.47,1129,11.75,10.21,1129,15.34,13.98,1129,16.8,15.99,1129,10.78,9.64,1129,5.4,3.18
10-20,140,25.75,17.07,140,25.71,11.78,140,30.31,19.34,140,30.44,22.13,140,21.68,14.93,140,15.84,-5.41
20-30,147,28.82,18.93,147,29.0,7.51,147,32.43,18.36,147,33.31,17.87,147,22.37,10.54,147,22.21,-12.15
30-40,114,34.72,23.88,114,37.35,17.38,114,33.72,19.34,114,31.01,14.93,114,26.32,10.07,114,27.84,-16.6
40-50,115,32.27,10.48,115,33.92,5.59,115,29.22,8.92,115,30.83,5.74,115,24.71,-4.06,115,33.89,-25.44
50-60,132,32.32,8.55,132,34.82,0.22,132,29.67,1.84,132,32.2,-3.91,132,29.44,-7.84,132,41.41,-35.36
60-70,92,27.71,4.27,92,30.22,-0.89,92,24.96,-0.72,92,31.5,-11.27,92,29.25,-12.9,92,48.22,-46.49
70-80,104,19.91,4.19,104,25.14,-7.18,104,24.88,-5.76,104,31.67,-20.38,104,32.24,-23.77,104,58.0,-57.47
80-90,112,14.45,-0.73,112,23.64,-11.76,112,17.92,-5.92,112,31.02,-23.71,112,31.15,-24.48,112,67.12,-66.99
90-100,561,3.21,-1.55,561,12.84,-11.67,561,9.69,-8.76,561,25.98,-25.63,561,26.03,-25.75,561,77.68,-77.68
