aggregation,source,n,n_days,MAE,MAE 95% CI,RMSE,RMSE 95% CI,Bias (ME),Bias (ME) 95% CI,Pearson r,Pearson r 95% CI
10 min (D1),MTG FCI L2 CLM,2646,34,13.44,"[10.59, 16.39]",23.05,"[19.75, 26.13]",6.15,"[3.48, 8.93]",0.86,"[0.81, 0.89]"
10 min (D1),Bright Sky (DWD),2646,34,18.56,"[15.22, 21.75]",29.92,"[26.58, 32.89]",3.11,"[0.70, 5.59]",0.73,"[0.66, 0.80]"
10 min (D1),Open-Meteo,2646,34,18.81,"[15.40, 22.34]",29.25,"[25.43, 32.88]",6.96,"[3.84, 10.12]",0.75,"[0.67, 0.81]"
10 min (D1),OpenWeatherMap,2646,34,24.07,"[19.19, 28.81]",35.43,"[30.25, 40.01]",2.05,"[-3.66, 7.95]",0.58,"[0.45, 0.70]"
10 min (D1),Tomorrow.io,2646,34,19.79,"[16.35, 23.09]",29.89,"[26.51, 32.82]",-2.52,"[-6.47, 1.40]",0.69,"[0.61, 0.77]"
10 min (D1),WeatherAPI.com,2646,34,32.38,"[25.02, 40.19]",46.91,"[39.37, 54.13]",-26.37,"[-35.13, -18.31]",0.32,"[0.20, 0.43]"
30 min (N = 917),MTG FCI L2 CLM,917,34,12.61,"[9.92, 15.40]",21.18,"[17.92, 24.21]",6.18,"[3.46, 8.99]",0.88,"[0.84, 0.91]"
30 min (N = 917),Bright Sky (DWD),917,34,16.96,"[13.98, 19.80]",26.64,"[23.61, 29.33]",3.07,"[0.66, 5.49]",0.78,"[0.71, 0.83]"
30 min (N = 917),Open-Meteo,917,34,17.99,"[14.73, 21.45]",27.86,"[24.16, 31.44]",6.86,"[3.78, 9.99]",0.77,"[0.69, 0.83]"
30 min (N = 917),OpenWeatherMap,917,34,23.29,"[18.49, 27.98]",34.14,"[28.95, 38.76]",2.06,"[-3.52, 7.88]",0.6,"[0.46, 0.72]"
30 min (N = 917),Tomorrow.io,917,34,18.47,"[15.24, 21.61]",27.61,"[24.39, 30.46]",-2.62,"[-6.67, 1.39]",0.73,"[0.64, 0.80]"
30 min (N = 917),WeatherAPI.com,917,34,31.66,"[24.23, 39.68]",45.69,"[37.88, 53.20]",-26.34,"[-35.30, -18.09]",0.34,"[0.21, 0.46]"
60 min (N = 479),MTG FCI L2 CLM,479,34,12.23,"[9.57, 15.03]",20.03,"[16.73, 23.16]",5.63,"[2.99, 8.32]",0.89,"[0.84, 0.92]"
60 min (N = 479),Bright Sky (DWD),479,34,16.1,"[13.34, 18.73]",24.68,"[21.89, 27.20]",2.7,"[0.32, 5.08]",0.8,"[0.74, 0.85]"
60 min (N = 479),Open-Meteo,479,34,17.06,"[13.88, 20.46]",26.29,"[22.50, 29.90]",6.61,"[3.42, 9.80]",0.79,"[0.71, 0.85]"
60 min (N = 479),OpenWeatherMap,479,34,22.57,"[17.92, 27.11]",32.74,"[27.63, 37.22]",1.78,"[-3.83, 7.56]",0.62,"[0.48, 0.74]"
60 min (N = 479),Tomorrow.io,479,34,17.77,"[14.70, 20.76]",26.35,"[23.16, 29.16]",-2.97,"[-7.00, 1.02]",0.74,"[0.66, 0.81]"
60 min (N = 479),WeatherAPI.com,479,34,31.77,"[24.53, 39.64]",45.28,"[37.60, 52.68]",-27.05,"[-35.87, -18.97]",0.36,"[0.22, 0.49]"
