source,reference,N,korrekt_beschattet_TP,korrekt_nicht_TN,unnoetig_beschattet_FP,verpasst_FN,accuracy,precision,recall
MTG FCI L2 CLM,cloud_dense_pct < 40,992,428,364,9,191,0.7984,0.9794,0.6914
Bright Sky (DWD),cloud_dense_pct < 40,992,464,317,56,155,0.7873,0.8923,0.7496
Open-Meteo,cloud_dense_pct < 40,992,420,346,27,199,0.7722,0.9396,0.6785
OpenWeatherMap,cloud_dense_pct < 40,992,414,281,92,205,0.7006,0.8182,0.6688
Tomorrow.io,cloud_dense_pct < 40,992,441,302,71,178,0.749,0.8613,0.7124
WeatherAPI.com,cloud_dense_pct < 40,992,567,52,321,52,0.624,0.6385,0.916
MTG FCI L2 CLM,sun_unobscured (Lux),991,388,339,48,216,0.7336,0.8899,0.6424
Bright Sky (DWD),sun_unobscured (Lux),991,426,293,94,178,0.7255,0.8192,0.7053
Open-Meteo,sun_unobscured (Lux),991,375,316,71,229,0.6973,0.8408,0.6209
OpenWeatherMap,sun_unobscured (Lux),991,394,275,112,210,0.6751,0.7787,0.6523
Tomorrow.io,sun_unobscured (Lux),991,408,283,104,196,0.6973,0.7969,0.6755
WeatherAPI.com,sun_unobscured (Lux),991,554,54,333,50,0.6135,0.6246,0.9172
Kamera (v106),sun_unobscured (Lux),991,463,330,57,141,0.8002,0.8904,0.7666
