ts,date,sun_elev_deg,daylight,camera_invalid,sun_in_frame,camera,satellite_clm,weather_brightsky,weather_openmeteo,complete_case
2026-07-02T13:50:00+00:00,2026-07-02,52.04,1,1,1,0.0386,26.39,63.0,23.0,0
2026-07-02T14:00:00+00:00,2026-07-02,50.59,1,1,1,10.542,18.06,63.0,0.0,0
2026-07-02T14:10:00+00:00,2026-07-02,49.1,1,0,1,2.6838,13.89,38.0,0.0,1
2026-07-02T14:20:00+00:00,2026-07-02,47.58,1,0,1,6.2115,9.72,38.0,0.0,1
2026-07-02T14:30:00+00:00,2026-07-02,46.03,1,0,1,3.0327,4.17,38.0,0.0,1
2026-07-02T14:40:00+00:00,2026-07-02,44.46,1,0,1,2.1933,2.78,63.0,0.0,1
2026-07-02T14:50:00+00:00,2026-07-02,42.87,1,0,1,3.5547,0.0,63.0,0.0,1
2026-07-02T15:00:00+00:00,2026-07-02,41.26,1,0,1,5.5818,0.0,63.0,0.0,1
2026-07-02T15:10:00+00:00,2026-07-02,39.64,1,0,1,8.2272,2.78,50.0,0.0,1
2026-07-02T15:20:00+00:00,2026-07-02,38.01,1,0,1,9.4945,4.17,50.0,0.0,1
2026-07-02T15:30:00+00:00,2026-07-02,36.38,1,0,1,11.6051,0.0,50.0,0.0,1
2026-07-02T15:40:00+00:00,2026-07-02,34.73,1,0,1,3.4195,,25.0,0.0,0
2026-07-02T15:50:00+00:00,2026-07-02,33.08,1,0,1,7.5441,2.78,25.0,0.0,1
2026-07-02T16:00:00+00:00,2026-07-02,31.44,1,0,1,18.0182,0.0,25.0,0.0,1
2026-07-02T16:10:00+00:00,2026-07-02,29.79,1,0,1,4.4715,1.39,25.0,0.0,1
2026-07-02T16:20:00+00:00,2026-07-02,28.14,1,0,1,5.6791,0.0,25.0,3.0,1
2026-07-02T16:30:00+00:00,2026-07-02,26.5,1,0,1,4.8049,6.94,25.0,5.0,1
2026-07-02T16:40:00+00:00,2026-07-02,24.86,1,0,1,3.4824,4.17,13.0,3.0,1
2026-07-02T16:50:00+00:00,2026-07-02,23.23,1,0,1,4.9697,4.17,13.0,5.0,1
2026-07-02T17:00:00+00:00,2026-07-02,21.6,1,0,1,4.2078,0.0,13.0,6.0,1
2026-07-02T17:10:00+00:00,2026-07-02,19.99,1,0,1,4.7735,0.0,0.0,6.0,1
2026-07-02T17:20:00+00:00,2026-07-02,18.39,1,0,1,6.5354,0.0,0.0,9.0,1
2026-07-02T17:30:00+00:00,2026-07-02,16.8,1,0,1,4.0148,0.0,0.0,11.0,1
2026-07-02T17:40:00+00:00,2026-07-02,15.22,1,0,1,5.1719,8.33,0.0,11.0,1
2026-07-02T17:50:00+00:00,2026-07-02,13.67,1,0,1,43.6815,18.06,0.0,14.0,1
2026-07-02T18:00:00+00:00,2026-07-02,12.13,1,0,1,55.1063,12.5,0.0,16.0,1
2026-07-02T18:10:00+00:00,2026-07-02,10.61,1,0,1,24.1012,8.33,0.0,16.0,1
2026-07-02T18:20:00+00:00,2026-07-02,9.11,1,0,0,20.5878,5.56,0.0,18.0,1
2026-07-02T18:30:00+00:00,2026-07-02,7.64,1,0,0,21.6225,1.39,0.0,20.0,1
2026-07-02T18:40:00+00:00,2026-07-02,6.19,1,0,0,29.097,0.0,38.0,20.0,1
2026-07-02T18:50:00+00:00,2026-07-02,4.78,0,0,,,0.0,38.0,22.0,0
2026-07-02T19:00:00+00:00,2026-07-02,3.42,0,0,,,2.78,38.0,24.0,0
2026-07-02T19:10:00+00:00,2026-07-02,2.1,0,0,,,18.06,0.0,24.0,0
2026-07-02T19:20:00+00:00,2026-07-02,0.87,0,0,,,29.17,0.0,35.0,0
2026-07-02T19:30:00+00:00,2026-07-02,-0.87,0,0,,,31.94,0.0,63.0,0
2026-07-02T19:40:00+00:00,2026-07-02,-2.16,0,0,,,,0.0,63.0,0
2026-07-02T19:50:00+00:00,2026-07-02,-3.42,0,0,,,19.44,0.0,73.0,0
2026-07-02T20:00:00+00:00,2026-07-02,-4.64,0,0,,,33.33,,,0
2026-07-02T20:10:00+00:00,2026-07-02,-5.83,0,0,,,63.89,13.0,83.0,0
2026-07-02T20:20:00+00:00,2026-07-02,-6.97,0,0,,,,13.0,87.0,0
2026-07-02T20:30:00+00:00,2026-07-02,-8.07,0,0,,,55.56,13.0,92.0,0
2026-07-02T20:40:00+00:00,2026-07-02,-9.12,0,0,,,75.0,25.0,92.0,0
2026-07-02T20:50:00+00:00,2026-07-02,-10.13,0,0,,,93.06,25.0,96.0,0
2026-07-02T21:00:00+00:00,2026-07-02,-11.08,0,0,,,97.22,25.0,100.0,0
2026-07-02T21:10:00+00:00,2026-07-02,-11.99,0,0,,,100.0,88.0,100.0,0
2026-07-02T21:20:00+00:00,2026-07-02,-12.85,0,0,,,100.0,88.0,96.0,0
2026-07-02T21:30:00+00:00,2026-07-02,-13.64,0,0,,,100.0,88.0,93.0,0
2026-07-02T21:40:00+00:00,2026-07-02,-14.39,0,0,,,100.0,88.0,93.0,0
2026-07-02T21:50:00+00:00,2026-07-02,-15.07,0,0,,,100.0,88.0,89.0,0
2026-07-02T22:00:00+00:00,2026-07-02,-15.69,0,0,,,100.0,88.0,85.0,0
2026-07-02T22:10:00+00:00,2026-07-02,-16.25,0,0,,,100.0,100.0,85.0,0
2026-07-02T22:20:00+00:00,2026-07-02,-16.75,0,0,,,100.0,100.0,85.0,0
2026-07-02T22:30:00+00:00,2026-07-02,-17.18,0,0,,,100.0,100.0,86.0,0
2026-07-02T22:40:00+00:00,2026-07-02,-17.55,0,0,,,98.61,88.0,86.0,0
2026-07-02T22:50:00+00:00,2026-07-02,-17.85,0,0,,,98.61,88.0,66.0,0
2026-07-02T23:00:00+00:00,2026-07-02,-18.08,0,0,,,93.06,88.0,,0
2026-07-02T23:10:00+00:00,2026-07-02,-18.24,0,0,,,87.5,100.0,59.0,0
2026-07-02T23:20:00+00:00,2026-07-02,-18.33,0,0,,,81.94,100.0,67.0,0
